Goals,Shots,XG,Minutes Played,Home Team,Away Team,Home Goals,Away Goals,Date,Season,XA,Assists,Key Passes,NPG,NPXG,XGChain,XGBuildup
0,2,0.04,90,Valencia,Real Madrid,2,1,2017-02-22,2016,0.2,0,5,0,0.04,0.24,0.1
0,2,0.67,74,Osasuna,Real Madrid,1,3,2017-02-11,2016,0.12,1,3,0,0.67,1.13,0.45
0,0,0.0,66,Real Madrid,Real Sociedad,3,0,2017-01-29,2016,0.0,0,0,0,0.0,0.0,0.0
0,3,0.21,83,Real Madrid,Malaga,2,1,2017-01-21,2016,0.0,0,0,0,0.21,0.21,0.0
0,2,0.58,90,Sevilla,Real Madrid,2,1,2017-01-15,2016,0.54,0,1,0,0.58,1.13,0.0
1,4,0.92,90,Real Madrid,Granada,5,0,2017-01-07,2016,0.48,1,6,1,0.92,1.19,0.0
0,1,0.08,77,Barcelona,Real Madrid,1,1,2016-12-03,2016,0.0,0,0,0,0.08,0.25,0.17
0,2,0.68,90,Real Madrid,Sporting Gijon,2,1,2016-11-26,2016,0.0,0,0,0,0.68,1.08,0.4
0,0,0.0,11,Atletico Madrid,Real Madrid,0,3,2016-11-19,2016,0.0,0,0,0,0.0,0.0,0.0
0,0,0.0,68,Alaves,Real Madrid,1,4,2016-10-29,2016,0.02,1,1,0,0.0,0.02,0.0
1,2,0.6,76,Real Madrid,Athletic Club,2,1,2016-10-23,2016,0.07,0,2,1,0.6,0.83,0.17
1,4,0.59,75,Real Betis,Real Madrid,1,6,2016-10-15,2016,0.02,0,1,1,0.59,2.19,1.62
0,1,0.15,46,Real Madrid,Eibar,1,1,2016-10-02,2016,0.0,0,0,0,0.15,0.15,0.0
1,3,0.81,26,Las Palmas,Real Madrid,2,2,2016-09-24,2016,0.0,0,0,1,0.81,0.68,0.01
0,4,0.38,78,Real Madrid,Villarreal,1,1,2016-09-21,2016,0.08,0,2,0,0.38,0.42,0.17
1,4,0.85,75,Espanyol,Real Madrid,0,2,2016-09-18,2016,0.0,0,0,1,0.85,0.85,0.0
0,3,0.4,23,Real Madrid,Osasuna,5,2,2016-09-10,2016,0.08,0,1,0,0.4,0.51,0.11
0,2,0.19,90,Deportivo La Coruna,Real Madrid,0,2,2016-05-14,2015,0.46,1,2,0,0.19,1.07,0.41
1,5,1.48,66,Real Madrid,Valencia,3,2,2016-05-08,2015,0.08,0,2,1,1.48,1.56,0.07
0,2,0.63,41,Rayo Vallecano,Real Madrid,2,3,2016-04-23,2015,0.09,0,2,0,0.63,0.6,0.0
1,5,0.94,90,Real Madrid,Villarreal,3,0,2016-04-21,2015,0.07,1,1,1,0.94,1.05,0.11
1,3,0.57,69,Getafe,Real Madrid,1,5,2016-04-16,2015,0.9,2,2,1,0.57,1.58,0.12
1,4,0.77,79,Barcelona,Real Madrid,1,2,2016-04-02,2015,0.11,0,2,1,0.77,0.89,0.05
1,5,0.75,81,Real Madrid,Sevilla,4,0,2016-03-20,2015,1.21,1,5,1,0.75,1.9,0.09
0,1,0.05,46,Real Madrid,Atletico Madrid,0,1,2016-02-27,2015,0.0,0,0,0,0.05,0.0,0.0
0,2,0.11,90,Real Madrid,Athletic Club,4,2,2016-02-13,2015,0.38,1,2,0,0.11,0.76,0.29
1,4,1.2,90,Granada,Real Madrid,1,2,2016-02-07,2015,0.07,0,1,1,1.2,1.27,0.07
1,5,0.76,75,Real Madrid,Espanyol,6,0,2016-01-31,2015,0.04,0,1,1,0.76,0.9,0.28
1,6,2.05,90,Real Betis,Real Madrid,1,1,2016-01-24,2015,0.3,0,1,1,2.05,1.85,0.01
2,3,1.34,66,Real Madrid,Sporting Gijon,5,1,2016-01-17,2015,0.4,1,3,2,1.34,2.11,0.45
2,4,1.22,90,Real Madrid,Deportivo La Coruna,5,0,2016-01-09,2015,0.04,0,2,2,1.22,1.56,0.89
1,3,0.24,68,Valencia,Real Madrid,2,2,2016-01-03,2015,0.23,0,2,1,0.24,0.57,0.18
0,7,0.48,78,Real Madrid,Real Sociedad,3,1,2015-12-30,2015,0.03,0,1,0,0.48,0.9,0.62
3,6,1.13,90,Real Madrid,Rayo Vallecano,10,2,2015-12-20,2015,0.12,0,2,3,1.13,1.31,0.5
0,4,0.69,90,Villarreal,Real Madrid,1,0,2015-12-13,2015,0.0,0,0,0,0.69,0.8,0.11
2,4,0.74,78,Real Madrid,Getafe,4,1,2015-12-05,2015,0.02,0,1,2,0.74,0.78,0.16
0,1,0.11,4,Eibar,Real Madrid,0,2,2015-11-29,2015,0.0,0,0,0,0.11,0.11,0.0
0,2,0.18,90,Real Madrid,Barcelona,0,4,2015-11-21,2015,0.07,0,2,0,0.18,0.24,0.04
1,1,0.42,78,Atletico Madrid,Real Madrid,1,1,2015-10-04,2015,0.0,0,0,1,0.42,0.47,0.04
0,4,0.4,90,Real Madrid,Malaga,0,0,2015-09-26,2015,0.13,0,2,0,0.4,0.62,0.26
2,9,1.77,80,Athletic Club,Real Madrid,1,2,2015-09-23,2015,0.59,0,4,2,1.77,2.33,0.11
1,2,0.93,77,Real Madrid,Granada,1,0,2015-09-19,2015,0.24,0,2,1,0.93,0.59,0.22
1,2,0.85,62,Espanyol,Real Madrid,0,6,2015-09-12,2015,0.0,0,0,1,0.85,0.85,0.0
1,2,0.73,53,Real Madrid,Real Betis,5,0,2015-08-30,2015,0.0,0,0,1,0.73,0.73,0.6
0,1,0.03,63,Espanyol,Real Madrid,1,4,2015-05-17,2014,0.32,1,1,0,0.03,0.35,0.0
0,2,0.22,72,Rayo Vallecano,Real Madrid,0,2,2015-04-08,2014,0.01,0,1,0,0.22,0.66,0.43
2,4,0.38,61,Real Madrid,Granada,9,1,2015-04-05,2014,0.41,0,2,2,0.38,1.16,0.64
0,3,0.19,90,Barcelona,Real Madrid,2,1,2015-03-22,2014,1.24,1,3,0,0.19,0.99,0.52
0,3,1.05,82,Real Madrid,Levante,2,0,2015-03-15,2014,0.58,0,2,0,1.05,1.68,0.63
